created_at,entry_id,field1,field2,field3,field4
2024-04-16T00:04:00+0000,1,10,10,,
2024-04-16T00:05:00+0000,2,11,10,,
2024-04-16T00:06:00+0000,3,12,10,,
2024-04-16T00:07:00+0000,4,13,10,,
2024-04-16T00:08:00+0000,5,14,10,,
2024-04-16T00:09:00+0000,6,15,10,20,25
2024-04-16T00:10:00+0000,7,15,11,16,10
2024-04-16T00:11:00+0000,8,15,12,,
2024-04-16T00:12:00+0000,9,15,13,,
2024-04-16T00:13:00+0000,10,15,14,,
2024-04-16T00:14:00+0000,11,16,14,15,15
2024-04-16T00:15:00+0000,12,17,14,,
2024-04-16T00:16:00+0000,13,18,14,,
2024-04-16T00:17:00+0000,14,19,14,,